header = "20, 29,27,26,21,22,24,25"
45, -45, -45, 45, 45, -45, -45, 45

-45, -45, 45, 45, -45, -45, 45, 45

-45, 45, 45, -45, -45, 45, 45, -45

45, 45, -45, -45, 45, 45, -45, -45

45, -45, -45, 45, 45, -45, -45, 45

-45, -45, 45, 45, -45, -45, 45, 45

-45, 45, 45, -45, -45, 45, 45, -45

45, 45, -45, -45, 45, 45, -45, -45

45, -45, -45, 45, 45, -45, -45, 45

-45, -45, 45, 45, -45, -45, 45, 45

-45, 45, 45, -45, -45, 45, 45, -45

45, 45, -45, -45, 45, 45, -45, -45

45, -45, -45, 45, 45, -45, -45, 45

-45, -45, 45, 45, -45, -45, 45, 45

-45, 45, 45, -45, -45, 45, 45, -45

45, 45, -45, -45, 45, 45, -45, -45


0,0,0,0,0,0,0,0
